Store_Dept_Date,Weekly_Sales
1_91_2012-11-02,63358.55
1_92_2012-11-02,106479.0
1_93_2012-11-02,74981.95
1_94_2012-11-02,61007.15
1_95_2012-11-02,106479.0
1_96_2012-11-02,33042.2
1_97_2012-11-02,34513.1
1_98_2012-11-02,10496.741904761906
1_98_2012-11-02,10496.741904761906
1_1_2012-11-09,21436.3
1_2_2012-11-09,48194.2
1_3_2012-11-09,11080.35
1_4_2012-11-09,37268.15
1_5_2012-11-09,39032.2
1_6_2012-11-09,3633.4
1_7_2012-11-09,25646.85
1_8_2012-11-09,36820.15
1_9_2012-11-09,35510.3
1_10_2012-11-09,32413.9
1_11_2012-11-09,24221.7
1_12_2012-11-09,10266.8
1_13_2012-11-09,40183.5
1_14_2012-11-09,17578.3
1_16_2012-11-09,7438.2
1_17_2012-11-09,8888.5
1_18_2012-11-09,11779.45
1_19_2012-11-09,916.3
1_20_2012-11-09,3805.4
1_21_2012-11-09,8117.2
1_22_2012-11-09,7838.3
1_23_2012-11-09,21895.6
1_24_2012-11-09,6628.85
1_25_2012-11-09,10588.95
1_26_2012-11-09,8199.1
1_27_2012-11-09,1693.15
1_28_2012-11-09,687.55
1_29_2012-11-09,4684.35
1_30_2012-11-09,2453.3
1_31_2012-11-09,1551.9
1_32_2012-11-09,5915.4
1_33_2012-11-09,6617.95
1_34_2012-11-09,11464.75
1_35_2012-11-09,2604.5
1_36_2012-11-09,1300.75
1_37_2012-11-09,2853.8
1_38_2012-11-09,79355.65
1_40_2012-11-09,60464.7
1_41_2012-11-09,1056.65
1_42_2012-11-09,8206.9
1_44_2012-11-09,6410.65
1_46_2012-11-09,18275.75
1_48_2012-11-09,1533.9
1_49_2012-11-09,9594.2
1_52_2012-11-09,2252.25
1_55_2012-11-09,21108.65
1_56_2012-11-09,1421.2
1_58_2012-11-09,4224.9
1_59_2012-11-09,683.7
1_60_2012-11-09,1171.8
1_67_2012-11-09,6351.75
1_71_2012-11-09,2346.35
1_72_2012-11-09,45497.45
1_74_2012-11-09,9762.25
1_79_2012-11-09,40501.65
1_80_2012-11-09,19926.0
1_81_2012-11-09,31085.95
1_82_2012-11-09,20074.75
1_83_2012-11-09,6582.1
1_85_2012-11-09,2895.95
1_87_2012-11-09,58861.2
1_90_2012-11-09,93448.75
1_91_2012-11-09,72021.35
1_92_2012-11-09,106479.0
1_93_2012-11-09,82317.4
1_94_2012-11-09,61188.8
1_95_2012-11-09,106479.0
1_96_2012-11-09,33805.75
1_97_2012-11-09,36725.0
1_98_2012-11-09,9439.533333333333
1_98_2012-11-09,9439.533333333333
1_1_2012-11-16,18104.25
1_2_2012-11-16,42826.7
1_3_2012-11-16,11129.05
1_4_2012-11-16,38788.4
1_5_2012-11-16,29964.85
1_6_2012-11-16,3276.7
1_7_2012-11-16,22982.65
1_8_2012-11-16,36864.75
1_9_2012-11-16,35028.95
1_10_2012-11-16,32687.75
1_11_2012-11-16,25499.5
1_12_2012-11-16,8443.85
1_13_2012-11-16,37538.7
1_14_2012-11-16,15794.7
1_16_2012-11-16,5556.45
1_17_2012-11-16,9331.5
1_18_2012-11-16,12618.0
1_19_2012-11-16,997.3
1_20_2012-11-16,3685.3
1_21_2012-11-16,8393.05
1_22_2012-11-16,7093.25
1_23_2012-11-16,25004.55
1_24_2012-11-16,5976.3
1_25_2012-11-16,11083.2
1_26_2012-11-16,7835.15
1_27_2012-11-16,1759.25
1_28_2012-11-16,773.2
1_29_2012-11-16,5403.45
1_30_2012-11-16,2289.2
1_31_2012-11-16,1536.8
1_32_2012-11-16,4883.6
1_33_2012-11-16,6129.3
1_34_2012-11-16,12145.9
1_35_2012-11-16,2694.35
1_36_2012-11-16,1636.75
1_37_2012-11-16,2633.15
1_38_2012-11-16,77282.15
1_40_2012-11-16,60397.75
1_41_2012-11-16,1039.25
1_42_2012-11-16,7553.1
1_44_2012-11-16,5724.55
1_46_2012-11-16,17966.5
1_48_2012-11-16,1798.75
1_49_2012-11-16,9927.05
1_52_2012-11-16,2003.95
1_54_2012-11-16,24.05
1_55_2012-11-16,21632.85
1_56_2012-11-16,1129.25
1_58_2012-11-16,3870.95
1_59_2012-11-16,685.3
1_60_2012-11-16,828.2
1_67_2012-11-16,7355.15
1_71_2012-11-16,2219.15
1_72_2012-11-16,45954.7
1_74_2012-11-16,9527.65
1_79_2012-11-16,32815.1
1_80_2012-11-16,19016.0
1_81_2012-11-16,29769.75
1_82_2012-11-16,20404.55
1_83_2012-11-16,5758.1
1_85_2012-11-16,3037.5
1_87_2012-11-16,48245.2
1_90_2012-11-16,93952.95
1_91_2012-11-16,68806.3
1_92_2012-11-16,106479.0
1_93_2012-11-16,82598.65
1_94_2012-11-16,60216.6
1_95_2012-11-16,106479.0
1_96_2012-11-16,32756.35
1_97_2012-11-16,36993.8
1_98_2012-11-16,11253.155
1_1_2012-11-23,20777.6
1_2_2012-11-23,46433.7
1_3_2012-11-23,10760.75
1_4_2012-11-23,45141.65
1_5_2012-11-23,61110.25
1_6_2012-11-23,15549.35
1_7_2012-11-23,67367.2
1_8_2012-11-23,37122.0
1_9_2012-11-23,40416.55
1_10_2012-11-23,31345.4
1_11_2012-11-23,28477.9
1_12_2012-11-23,9173.15
1_13_2012-11-23,38107.55
1_14_2012-11-23,46505.0
1_16_2012-11-23,8445.35
1_17_2012-11-23,13023.25
1_18_2012-11-23,26978.7
1_19_2012-11-23,1284.8
1_20_2012-11-23,5572.7
1_21_2012-11-23,9611.8
1_22_2012-11-23,15523.6
1_23_2012-11-23,29540.45
1_24_2012-11-23,13648.7
1_25_2012-11-23,12629.55
1_26_2012-11-23,9338.15
1_27_2012-11-23,1864.3
1_28_2012-11-23,746.25
1_29_2012-11-23,5619.75
1_30_2012-11-23,2541.65
1_31_2012-11-23,1621.15
1_32_2012-11-23,8978.0
1_33_2012-11-23,10204.3
1_34_2012-11-23,13446.95
1_35_2012-11-23,2917.5
1_36_2012-11-23,2587.2
1_37_2012-11-23,2628.05
1_38_2012-11-23,63840.7
1_40_2012-11-23,59646.0
1_41_2012-11-23,2333.05
1_42_2012-11-23,7631.25
1_44_2012-11-23,7458.35
1_46_2012-11-23,18638.7
1_48_2012-11-23,4326.1
1_49_2012-11-23,9394.8
1_52_2012-11-23,2869.75
1_54_2012-11-23,42.5
1_55_2012-11-23,32226.05
1_56_2012-11-23,1285.35
1_58_2012-11-23,4329.9
1_59_2012-11-23,736.05
1_60_2012-11-23,854.3
1_67_2012-11-23,6735.15
1_71_2012-11-23,4383.65
1_72_2012-11-23,94941.35
1_74_2012-11-23,17644.55
1_79_2012-11-23,32687.95
1_80_2012-11-23,18664.25
1_81_2012-11-23,30541.55
1_82_2012-11-23,21384.65
1_83_2012-11-23,5244.15
1_85_2012-11-23,3333.7
1_87_2012-11-23,48239.15
1_90_2012-11-23,92487.05
1_91_2012-11-23,59685.65
1_92_2012-11-23,106479.0
1_93_2012-11-23,84440.55
1_94_2012-11-23,69694.4
1_95_2012-11-23,106041.3
1_96_2012-11-23,40388.7
1_97_2012-11-23,35132.3
1_98_2012-11-23,11324.895833333334
1_98_2012-11-23,11324.895833333334
1_1_2012-11-30,37510.45
1_2_2012-11-30,46240.7
1_3_2012-11-30,10082.05
1_4_2012-11-30,42764.8
1_5_2012-11-30,45931.05
1_6_2012-11-30,9300.75
1_7_2012-11-30,53371.7
1_8_2012-11-30,37930.1
1_9_2012-11-30,43158.7
1_10_2012-11-30,31553.35
1_11_2012-11-30,27736.05
1_12_2012-11-30,8726.1
1_13_2012-11-30,37069.95
1_14_2012-11-30,42359.1
1_16_2012-11-30,7599.0
1_17_2012-11-30,13105.9
1_18_2012-11-30,21894.5
1_19_2012-11-30,1243.95
1_20_2012-11-30,4565.6
1_21_2012-11-30,8351.45
1_22_2012-11-30,13109.9
1_23_2012-11-30,29295.5
1_24_2012-11-30,9796.15
1_25_2012-11-30,12242.25
1_26_2012-11-30,7705.15
1_27_2012-11-30,1583.85
1_28_2012-11-30,880.25
1_29_2012-11-30,5029.7
1_30_2012-11-30,2560.7
1_31_2012-11-30,1439.8
1_32_2012-11-30,6037.05
1_33_2012-11-30,7527.2
1_34_2012-11-30,13170.25
1_35_2012-11-30,3060.6
1_36_2012-11-30,2767.05
1_37_2012-11-30,2570.6
1_38_2012-11-30,67209.5
1_40_2012-11-30,60223.7
1_41_2012-11-30,2244.7
1_42_2012-11-30,7293.4
1_44_2012-11-30,6578.8
1_45_2012-11-30,21.75
1_46_2012-11-30,17816.85
1_48_2012-11-30,3910.15
1_49_2012-11-30,9596.25
1_52_2012-11-30,2373.35
1_54_2012-11-30,69.35
1_55_2012-11-30,25853.95
1_56_2012-11-30,977.65
1_58_2012-11-30,4289.4
1_59_2012-11-30,709.2
1_60_2012-11-30,906.45
1_67_2012-11-30,7052.5
1_71_2012-11-30,4075.95
1_72_2012-11-30,56614.0
1_74_2012-11-30,12795.15
1_79_2012-11-30,31042.35
1_80_2012-11-30,18293.55
1_81_2012-11-30,29709.65
1_82_2012-11-30,19408.85
1_83_2012-11-30,4955.25
1_85_2012-11-30,3427.0
1_87_2012-11-30,47849.95
1_90_2012-11-30,88990.75
1_91_2012-11-30,59119.2
1_92_2012-11-30,106479.0
1_93_2012-11-30,78461.8
1_94_2012-11-30,69730.9
1_95_2012-11-30,105214.75
1_96_2012-11-30,40639.15
1_97_2012-11-30,33918.8
1_98_2012-11-30,12311.575
1_98_2012-11-30,12311.575
1_1_2012-12-07,60475.4
1_2_2012-12-07,49807.15
1_3_2012-12-07,13354.25
1_4_2012-12-07,40285.5
1_5_2012-12-07,51038.6
1_6_2012-12-07,8306.6
1_7_2012-12-07,63267.7
1_8_2012-12-07,45829.7
1_9_2012-12-07,35810.05
1_10_2012-12-07,30738.4
1_11_2012-12-07,29824.95
1_12_2012-12-07,10634.05
1_13_2012-12-07,40946.0
1_14_2012-12-07,36218.0
1_16_2012-12-07,9669.95
1_17_2012-12-07,15301.45
1_18_2012-12-07,70310.35
1_19_2012-12-07,1349.75
1_20_2012-12-07,4074.75
1_21_2012-12-07,9995.4
1_22_2012-12-07,10451.65
1_23_2012-12-07,37632.25
1_24_2012-12-07,13707.0
1_25_2012-12-07,11660.35
1_26_2012-12-07,8493.75
1_27_2012-12-07,6048.1
1_28_2012-12-07,813.75
1_29_2012-12-07,8373.75
1_30_2012-12-07,2405.5
1_31_2012-12-07,4814.4
1_32_2012-12-07,21424.35
1_33_2012-12-07,17530.3
1_34_2012-12-07,13721.0
1_35_2012-12-07,2773.65
1_36_2012-12-07,1961.05
1_37_2012-12-07,2580.2
1_38_2012-12-07,82875.65
1_40_2012-12-07,61271.2
1_41_2012-12-07,1604.75
1_42_2012-12-07,7389.15
1_44_2012-12-07,6556.4
1_45_2012-12-07,18.05
1_46_2012-12-07,31994.6
1_48_2012-12-07,1871.5
1_49_2012-12-07,10209.6
1_52_2012-12-07,3258.05
1_54_2012-12-07,88.55
1_55_2012-12-07,21928.95
1_56_2012-12-07,1994.7
1_58_2012-12-07,4676.9
1_59_2012-12-07,3401.45
1_60_2012-12-07,1505.7
1_67_2012-12-07,8908.2
1_71_2012-12-07,2641.2
1_72_2012-12-07,53372.1
1_74_2012-12-07,9993.9
1_79_2012-12-07,42161.4
1_80_2012-12-07,21066.5
1_81_2012-12-07,33726.55
1_82_2012-12-07,46375.9
1_83_2012-12-07,6389.3
1_85_2012-12-07,5699.3
1_87_2012-12-07,59564.1
1_90_2012-12-07,96562.45
1_91_2012-12-07,71073.05
1_92_2012-12-07,106479.0
1_93_2012-12-07,84399.75
1_94_2012-12-07,63749.55
1_95_2012-12-07,105914.5
1_96_2012-12-07,37405.85
1_97_2012-12-07,39786.85
1_98_2012-12-07,10908.054166666667
1_98_2012-12-07,10908.054166666667
1_1_2012-12-14,49038.9
1_2_2012-12-14,49645.45
1_3_2012-12-14,12914.6
1_4_2012-12-14,38945.1
1_5_2012-12-14,46252.15
1_6_2012-12-14,7154.45
1_7_2012-12-14,58518.2
1_8_2012-12-14,37160.55
1_9_2012-12-14,28486.65
1_10_2012-12-14,30158.6
1_11_2012-12-14,28641.9
1_12_2012-12-14,7748.4
1_13_2012-12-14,37167.95
1_14_2012-12-14,22611.4
1_16_2012-12-14,5021.0
1_17_2012-12-14,11856.95
1_18_2012-12-14,31139.6
1_19_2012-12-14,1378.8
1_20_2012-12-14,3414.3
1_21_2012-12-14,9574.05
1_22_2012-12-14,11318.4
1_23_2012-12-14,31604.1
1_24_2012-12-14,10195.2
1_25_2012-12-14,11881.25
1_26_2012-12-14,9089.8
1_27_2012-12-14,3402.6
1_28_2012-12-14,797.5
1_29_2012-12-14,7809.85
1_30_2012-12-14,2254.75
1_31_2012-12-14,3539.35
1_32_2012-12-14,14426.05
1_33_2012-12-14,11535.75
1_34_2012-12-14,13544.7
1_35_2012-12-14,2846.8
1_36_2012-12-14,2598.85
1_37_2012-12-14,2529.95
1_38_2012-12-14,77666.25
1_40_2012-12-14,61672.9
1_41_2012-12-14,1473.7
1_42_2012-12-14,6795.75
1_44_2012-12-14,7111.85
1_46_2012-12-14,31601.45
1_48_2012-12-14,2135.8
1_49_2012-12-14,10160.5
1_52_2012-12-14,3049.8
1_54_2012-12-14,65.65
1_55_2012-12-14,19406.85
1_56_2012-12-14,1290.0
1_58_2012-12-14,4908.55
1_59_2012-12-14,3975.1
1_60_2012-12-14,1518.9
1_67_2012-12-14,9393.15
1_71_2012-12-14,2552.65
1_72_2012-12-14,63242.7
1_74_2012-12-14,9184.85
1_79_2012-12-14,32902.0
1_80_2012-12-14,19153.15
1_81_2012-12-14,30465.55
1_82_2012-12-14,35128.35
1_83_2012-12-14,5895.15
1_85_2012-12-14,6684.3
1_87_2012-12-14,47621.9
1_90_2012-12-14,94674.55
1_91_2012-12-14,69056.0
1_92_2012-12-14,106479.0
1_93_2012-12-14,83489.3
1_94_2012-12-14,62299.25
1_95_2012-12-14,106479.0
1_96_2012-12-14,32433.85
1_97_2012-12-14,37201.75
1_98_2012-12-14,9843.102976190476
1_98_2012-12-14,9843.102976190476
1_1_2012-12-21,61414.3
1_2_2012-12-21,54484.95
1_3_2012-12-21,14251.7
1_4_2012-12-21,41686.95
1_5_2012-12-21,65652.45
1_6_2012-12-21,12749.0
1_7_2012-12-21,92878.75
1_8_2012-12-21,44009.65
1_9_2012-12-21,35066.7
1_10_2012-12-21,30555.9
1_11_2012-12-21,27613.65
1_12_2012-12-21,9404.9
1_13_2012-12-21,37467.5
1_14_2012-12-21,43718.9
1_16_2012-12-21,7223.35
1_17_2012-12-21,21667.95
1_18_2012-12-21,35608.25
1_19_2012-12-21,1356.55
1_20_2012-12-21,4124.75
1_21_2012-12-21,10825.5
1_22_2012-12-21,12327.15
1_23_2012-12-21,58673.7
1_24_2012-12-21,13166.25
1_25_2012-12-21,13882.0
1_26_2012-12-21,9046.6
1_27_2012-12-21,5587.0
1_28_2012-12-21,835.05
1_29_2012-12-21,11169.85
1_30_2012-12-21,2206.8
1_31_2012-12-21,5106.4
1_32_2012-12-21,48011.95
1_33_2012-12-21,17679.4
1_34_2012-12-21,13169.35
1_35_2012-12-21,3044.1
1_36_2012-12-21,3446.8
1_37_2012-12-21,2589.95
1_38_2012-12-21,71526.1
1_40_2012-12-21,61207.65
1_41_2012-12-21,1624.0
1_42_2012-12-21,7096.05
1_44_2012-12-21,6561.85
1_46_2012-12-21,45893.7
1_47_2012-12-21,133.6
1_48_2012-12-21,2028.0
1_49_2012-12-21,10086.2
1_52_2012-12-21,3062.85
1_54_2012-12-21,115.4
1_55_2012-12-21,27836.15
1_56_2012-12-21,1057.95
1_58_2012-12-21,4913.95
1_59_2012-12-21,8223.65
1_60_2012-12-21,1492.9
1_67_2012-12-21,12963.05
1_71_2012-12-21,2742.0
1_72_2012-12-21,67011.35
1_74_2012-12-21,10517.6
1_79_2012-12-21,31995.35
1_80_2012-12-21,19520.2
1_81_2012-12-21,30074.7
1_82_2012-12-21,52384.75
1_83_2012-12-21,5692.85
1_85_2012-12-21,6583.0
1_87_2012-12-21,46223.0
1_90_2012-12-21,89123.75
1_91_2012-12-21,63864.05
1_92_2012-12-21,106479.0
1_93_2012-12-21,76325.2
1_94_2012-12-21,67454.7
1_95_2012-12-21,106479.0
1_96_2012-12-21,36758.7
1_97_2012-12-21,35882.6
1_98_2012-12-21,10757.764642857142
1_98_2012-12-21,10757.764642857142
1_1_2012-12-28,23616.35
1_2_2012-12-28,43690.25
1_3_2012-12-28,10243.0
1_4_2012-12-28,40365.4
1_5_2012-12-28,60391.2
1_6_2012-12-28,17780.6
1_7_2012-12-28,57568.15
1_8_2012-12-28,40256.85
1_9_2012-12-28,31610.0
1_10_2012-12-28,32680.45
1_11_2012-12-28,27018.75
1_12_2012-12-28,7981.75
1_13_2012-12-28,36577.05
1_14_2012-12-28,36372.1
1_16_2012-12-28,5739.05
1_17_2012-12-28,13139.95
1_18_2012-12-28,22285.75
1_19_2012-12-28,961.8
1_20_2012-12-28,5412.75
1_21_2012-12-28,8104.55
1_22_2012-12-28,14794.95
1_23_2012-12-28,32735.1
1_24_2012-12-28,12080.15
1_25_2012-12-28,10099.65
1_26_2012-12-28,10267.2
1_27_2012-12-28,2293.15
1_28_2012-12-28,786.9
1_29_2012-12-28,7558.65
1_30_2012-12-28,2312.9
1_31_2012-12-28,2553.0
1_32_2012-12-28,13433.3
1_33_2012-12-28,5501.35
1_34_2012-12-28,12292.55
1_35_2012-12-28,3037.25
1_36_2012-12-28,3192.9
1_37_2012-12-28,2405.55
1_38_2012-12-28,69812.6
1_40_2012-12-28,58663.0
1_41_2012-12-28,1857.45
1_42_2012-12-28,7134.7
1_44_2012-12-28,7120.95
1_46_2012-12-28,26516.35
1_48_2012-12-28,1625.2
1_49_2012-12-28,11651.45
1_52_2012-12-28,2464.7
1_54_2012-12-28,76.1
1_55_2012-12-28,33850.2
1_56_2012-12-28,855.25
1_58_2012-12-28,3723.2
1_59_2012-12-28,5327.45
1_60_2012-12-28,667.55
1_67_2012-12-28,9359.05
1_71_2012-12-28,3503.5
1_72_2012-12-28,73555.4
1_74_2012-12-28,13821.55
1_79_2012-12-28,28427.7
1_80_2012-12-28,17818.85
1_81_2012-12-28,28639.7
1_82_2012-12-28,34507.1
1_83_2012-12-28,4797.75
1_85_2012-12-28,4158.75
1_87_2012-12-28,48556.9
1_90_2012-12-28,87866.8
1_91_2012-12-28,54770.9
1_92_2012-12-28,106479.0
1_93_2012-12-28,59982.8
1_94_2012-12-28,55511.05
1_95_2012-12-28,97349.65
1_96_2012-12-28,35498.1
1_97_2012-12-28,30730.7
1_98_2012-12-28,9178.1375
1_98_2012-12-28,9178.1375
1_1_2013-01-04,17277.85
1_2_2013-01-04,45367.05
1_3_2013-01-04,12753.45
1_4_2013-01-04,37883.65
1_5_2013-01-04,23996.1
1_6_2013-01-04,2397.25
1_7_2013-01-04,12437.0
1_8_2013-01-04,38156.7
1_9_2013-01-04,16147.95
1_10_2013-01-04,26265.65
1_11_2013-01-04,24160.7
1_12_2013-01-04,8043.5
1_13_2013-01-04,40549.55
1_14_2013-01-04,18090.2
1_16_2013-01-04,6353.45
1_17_2013-01-04,8968.9
1_18_2013-01-04,7429.45
1_19_2013-01-04,706.3
1_20_2013-01-04,3780.15
1_21_2013-01-04,7642.0
1_22_2013-01-04,8700.1
1_23_2013-01-04,17850.95
1_24_2013-01-04,6403.8
1_25_2013-01-04,6746.0
1_26_2013-01-04,4333.8
1_27_2013-01-04,1896.3
1_28_2013-01-04,727.75
1_29_2013-01-04,4768.1
1_30_2013-01-04,2480.0
1_31_2013-01-04,2972.5
1_32_2013-01-04,3726.0
1_33_2013-01-04,3671.05
1_34_2013-01-04,8337.4
1_35_2013-01-04,1979.35
1_36_2013-01-04,1025.4
1_37_2013-01-04,2933.4
1_38_2013-01-04,90640.25
1_40_2013-01-04,65272.4
1_41_2013-01-04,467.9
1_42_2013-01-04,7615.15
1_44_2013-01-04,4308.85
1_46_2013-01-04,15709.7
1_48_2013-01-04,623.55
1_49_2013-01-04,11656.5
1_52_2013-01-04,1784.15
1_54_2013-01-04,47.05
1_55_2013-01-04,11452.45
1_56_2013-01-04,825.5
1_58_2013-01-04,3170.55
1_59_2013-01-04,378.45
1_60_2013-01-04,1222.1
1_67_2013-01-04,5837.95
1_71_2013-01-04,2784.35
1_72_2013-01-04,44412.05
1_74_2013-01-04,12491.4
1_79_2013-01-04,42177.4
1_80_2013-01-04,17433.8
1_81_2013-01-04,30352.6
1_82_2013-01-04,21713.5
1_83_2013-01-04,6157.85
1_85_2013-01-04,2850.75
1_87_2013-01-04,60802.6
1_90_2013-01-04,90337.6
1_91_2013-01-04,67448.45
1_92_2013-01-04,106479.0
1_93_2013-01-04,77637.0
1_94_2013-01-04,65082.2
1_95_2013-01-04,102367.4
1_96_2013-01-04,29997.9
1_97_2013-01-04,35994.85
1_98_2013-01-04,8700.720833333333
1_1_2013-01-11,17639.6
1_2_2013-01-11,44407.5
1_3_2013-01-11,13823.25
1_4_2013-01-11,36539.85
1_5_2013-01-11,21929.2
1_6_2013-01-11,2623.2
1_7_2013-01-11,10539.1
1_8_2013-01-11,35895.05
1_9_2013-01-11,16734.8
1_10_2013-01-11,27458.85
1_11_2013-01-11,23521.2
1_12_2013-01-11,7766.0
1_13_2013-01-11,38391.15
1_14_2013-01-11,15456.05
1_16_2013-01-11,8064.8
1_17_2013-01-11,8714.15
1_18_2013-01-11,3363.95
1_19_2013-01-11,703.65
1_20_2013-01-11,3684.15
1_21_2013-01-11,7224.6
1_22_2013-01-11,8421.2
1_23_2013-01-11,17914.7
1_24_2013-01-11,4732.7
1_25_2013-01-11,6703.5
1_26_2013-01-11,4302.5
1_27_2013-01-11,1751.85
1_28_2013-01-11,667.6
1_29_2013-01-11,4292.0
1_30_2013-01-11,2340.4
1_31_2013-01-11,2026.75
1_32_2013-01-11,4311.2
1_33_2013-01-11,3563.05
1_34_2013-01-11,8976.35
1_35_2013-01-11,1987.9
1_36_2013-01-11,734.5
1_37_2013-01-11,2798.05
1_38_2013-01-11,76760.15
1_40_2013-01-11,62939.95
1_41_2013-01-11,372.75
1_42_2013-01-11,7638.35
1_44_2013-01-11,3986.4
1_46_2013-01-11,16623.3
1_48_2013-01-11,1590.45
1_49_2013-01-11,11684.45
1_52_2013-01-11,1710.85
1_55_2013-01-11,10565.45
1_56_2013-01-11,849.85
1_58_2013-01-11,2374.85
1_59_2013-01-11,289.7
1_60_2013-01-11,1164.8
1_67_2013-01-11,6428.6
1_71_2013-01-11,2598.25
1_72_2013-01-11,38965.7
1_74_2013-01-11,12840.4
1_79_2013-01-11,35252.85
1_80_2013-01-11,18685.8
1_81_2013-01-11,30416.85
1_82_2013-01-11,19624.9
1_83_2013-01-11,6606.1
1_85_2013-01-11,3262.05
1_87_2013-01-11,46993.6
1_90_2013-01-11,91118.6
1_91_2013-01-11,71037.15
1_92_2013-01-11,106479.0
1_93_2013-01-11,80850.75
1_94_2013-01-11,66288.3
1_95_2013-01-11,105029.15
1_96_2013-01-11,30121.55
1_97_2013-01-11,36647.2
1_98_2013-01-11,9490.433333333332
1_1_2013-01-18,21648.35
1_2_2013-01-18,43401.8
1_3_2013-01-18,12644.85
1_4_2013-01-18,35997.95
1_5_2013-01-18,19612.4
1_6_2013-01-18,2237.25
1_7_2013-01-18,10868.4
1_8_2013-01-18,35277.25
1_9_2013-01-18,13423.05
1_10_2013-01-18,25445.35
1_11_2013-01-18,21931.45
1_12_2013-01-18,7642.95
1_13_2013-01-18,36920.8
1_14_2013-01-18,13150.9
1_16_2013-01-18,6029.55
1_17_2013-01-18,8618.45
1_18_2013-01-18,10513.75
1_19_2013-01-18,793.7
1_20_2013-01-18,3467.85
1_21_2013-01-18,7413.75
1_22_2013-01-18,8104.9
1_23_2013-01-18,16522.65
1_24_2013-01-18,5606.55
1_25_2013-01-18,6520.7
1_26_2013-01-18,4440.1
1_27_2013-01-18,1702.35
1_28_2013-01-18,768.35
1_29_2013-01-18,4288.4
1_30_2013-01-18,2602.9
1_31_2013-01-18,2736.15
1_32_2013-01-18,4550.05
1_33_2013-01-18,3615.1
1_34_2013-01-18,8019.35
1_35_2013-01-18,1922.05
1_36_2013-01-18,671.05
1_37_2013-01-18,2385.05
1_38_2013-01-18,80052.45
1_40_2013-01-18,61989.7
1_41_2013-01-18,341.95
1_42_2013-01-18,7292.7
1_44_2013-01-18,4273.95
1_45_2013-01-18,19.05
1_46_2013-01-18,15812.9
1_48_2013-01-18,753.55
1_49_2013-01-18,11952.25
1_52_2013-01-18,1635.55
1_54_2013-01-18,36.5
1_55_2013-01-18,11789.3
1_56_2013-01-18,1044.15
1_58_2013-01-18,2431.15
1_59_2013-01-18,340.5
1_60_2013-01-18,965.0
1_67_2013-01-18,7034.55
1_71_2013-01-18,2401.9
1_72_2013-01-18,41938.1
1_74_2013-01-18,11315.1
1_79_2013-01-18,32177.1
1_80_2013-01-18,18868.4
1_81_2013-01-18,29813.35
1_82_2013-01-18,20392.0
1_83_2013-01-18,6857.35
1_85_2013-01-18,3032.75
1_87_2013-01-18,41611.65
1_90_2013-01-18,87326.2
1_91_2013-01-18,66608.0
1_92_2013-01-18,106479.0
1_93_2013-01-18,81707.9
1_94_2013-01-18,68378.05
1_95_2013-01-18,105418.45
1_96_2013-01-18,28327.65
1_97_2013-01-18,34443.9
1_98_2013-01-18,10245.225
1_1_2013-01-25,19597.5
1_2_2013-01-25,42266.3
1_3_2013-01-25,12176.55
1_4_2013-01-25,35411.25
1_5_2013-01-25,21117.8
1_6_2013-01-25,2004.65
1_7_2013-01-25,11669.35
1_8_2013-01-25,35272.8
1_9_2013-01-25,14715.55
1_10_2013-01-25,24793.3
1_11_2013-01-25,19691.85
1_12_2013-01-25,9594.4
